loan_id,loan_date,term_date,term_type,loan_owner,which_shop,transferred,accepted,pay,balance,total_income,owner_id,item_product,item_price,item_quantity,item_currency,item_exchange_rate,item_type
57,2024-08-20 11:25:01.842248+00:00,,day,1,1,316.8,0.0,316.8,0.0,16.4,2,OSV SAMALYOT ARZ,3.1,48,USD,12680.00,1
57,2024-08-20 11:25:01.842248+00:00,,day,1,1,316.8,0.0,316.8,0.0,16.4,2,MAGICAR MALIBU,8.4,20,USD,12680.00,1
57,2024-08-20 11:25:01.842248+00:00,,day,1,1,316.8,0.0,316.8,0.0,16.4,2,,316.8,1,USD,12680.00,3
1,2024-08-02 14:51:39.963131+00:00,,day,1,1,3829.0,0.0,2448.0,1381.0,0.0,2,,3829.0,1,USD,12670.00,1
1,2024-08-02 14:51:39.963131+00:00,,day,1,1,3829.0,0.0,2448.0,1381.0,0.0,2,,300.0,1,USD,12670.00,3
1,2024-08-02 14:51:39.963131+00:00,,day,1,1,3829.0,0.0,2448.0,1381.0,0.0,2,KARP,0.94,10,USD,12680.00,3
1,2024-08-02 14:51:39.963131+00:00,,day,1,1,3829.0,0.0,2448.0,1381.0,0.0,2,Niso kichik,0.63,220,USD,12680.00,3
1,2024-08-02 14:51:39.963131+00:00,,day,1,1,3829.0,0.0,2448.0,1381.0,0.0,2,,1000.0,1,USD,12680.00,3
1,2024-08-02 14:51:39.963131+00:00,,day,1,1,3829.0,0.0,2448.0,1381.0,0.0,2,,1000.0,1,USD,12680.00,3
2,2024-08-02 15:28:58.856759+00:00,,day,1,1,987.1,0.0,0.0,987.1,28.6,2,OSV SAMALYOT ARZ,3.1,100,USD,12670.00,1
2,2024-08-02 15:28:58.856759+00:00,,day,1,1,987.1,0.0,0.0,987.1,28.6,2,HOLDER MAX SEF,2.65,100,USD,12670.00,1
2,2024-08-02 15:28:58.856759+00:00,,day,1,1,987.1,0.0,0.0,987.1,28.6,2,HOLDER TANGA,0.3,670,USD,12670.00,1
2,2024-08-02 15:28:58.856759+00:00,,day,1,1,987.1,0.0,0.0,987.1,28.6,2,carbon chexol 906,1.18,70,USD,12670.00,1
2,2024-08-02 15:28:58.856759+00:00,,day,1,1,987.1,0.0,0.0,987.1,28.6,2,Perekurivatel 1000A,5.14,25,USD,12670.00,1
53,2024-08-07 07:25:52.710275+00:00,,day,1,1,471.75,0.0,0.0,471.75,46.75,2,Perekurivatel 500A,3.55,25,USD,12670.00,1
53,2024-08-07 07:25:52.710275+00:00,,day,1,1,471.75,0.0,0.0,471.75,46.75,2,Perekurivatel 800A,4.12,25,USD,12670.00,1
53,2024-08-07 07:25:52.710275+00:00,,day,1,1,471.75,0.0,0.0,471.75,46.75,2,Perekurivatel 1000A,5.2,25,USD,12670.00,1
53,2024-08-07 07:25:52.710275+00:00,,day,1,1,471.75,0.0,0.0,471.75,46.75,2,Perekurivatel 1500A,6.0,25,USD,12670.00,1
